"participant","Group","format","timepoint","n_correct","n_errors","dprime","c","meta_d","M_ratio"
1101,"LowType2","bio",1,19,19,NA,NA,NA,NA
1102,"HighType2","bio",1,28,10,1.21369807085955,-0.109648464748219,0.987340232861525,0.813497406453227
1102,"HighType2","bio",2,25,13,0.772401554134255,0.0675614131027522,1.41182038185743,1.8278321351125
1103,"NoFB","bio",1,20,18,NA,NA,NA,NA
1104,"LowType1","bio",1,25,13,0.786878552315271,0.204320849884843,0.311678345344369,0.396094599893849
1106,"LowType2","bio",1,21,17,NA,NA,NA,NA
1107,"HighType2","bio",1,26,12,0.916399490006854,-0.139560381039052,0.419351669461595,0.457607925402118
1107,"HighType2","bio",2,22,16,NA,NA,NA,NA
1109,"HighType2","bio",1,25,13,0.836145613217834,-0.298424693569075,0.806324891890688,0.964335492699193
1109,"HighType2","bio",2,28,10,1.20917721653035,0.150826418095295,0.712423819608135,0.58918065099869
1111,"LowType2","bio",1,29,9,1.35317515240295,-0.0788274501589954,5.92853286259564e-06,4.38120139293708e-06
1111,"LowType2","bio",2,20,18,NA,NA,NA,NA
1112,"NoFB","bio",2,29,9,1.38835148124336,0.2404135504518,1.19272594423922,0.859095092527327
1113,"LowType2","bio",1,23,15,NA,NA,NA,NA
1114,"NoFB","bio",1,28,10,1.21369807085955,-0.109648464748219,0.782129758761606,0.644418721212681
1114,"NoFB","bio",2,27,11,1.07405439032484,0.218387831198047,0.630560577719771,0.587084400380375
1116,"HighType2","bio",1,28,10,1.21369807085955,-0.109648464748219,0.631742303185887,0.520510263922958
1116,"HighType2","bio",2,30,8,1.51083005272094,0,1.07331437110617,0.710413702171982
1118,"NoFB","bio",1,26,12,0.916399490006854,-0.139560381039052,1.28014744269252,1.39693164024234
1118,"NoFB","bio",2,28,10,1.20917721653035,0.150826418095295,0.153780119397056,0.127177486719703
1119,"LowType2","bio",1,25,13,0.772401554134255,0.0675614131027522,1.48550203259198,1.9232250694485
1119,"LowType2","bio",2,24,14,NA,NA,NA,NA
1120,"NoFB","bio",1,21,17,NA,NA,NA,NA
1120,"NoFB","bio",2,21,17,NA,NA,NA,NA
1121,"NoFB","bio",1,24,14,NA,NA,NA,NA
1121,"NoFB","bio",2,20,18,NA,NA,NA,NA
1122,"LowType2","bio",1,22,16,NA,NA,NA,NA
1122,"LowType2","bio",2,17,21,NA,NA,NA,NA
1124,"HighType2","bio",1,20,18,NA,NA,NA,NA
1124,"HighType2","bio",2,21,17,NA,NA,NA,NA
1125,"HighType2","bio",1,21,17,NA,NA,NA,NA
1125,"HighType2","bio",2,22,16,NA,NA,NA,NA
1127,"LowType1","bio",1,22,16,NA,NA,NA,NA
1127,"LowType1","bio",2,27,11,1.05152231621236,-0.0719989679362994,1.13544073421569,1.0798065972633
