,ID,Progress,Duration..in.seconds.,RecordedDate,Age,Lang,Standing,TimeUNL,FirstGen,Courses,Major,Minor,StartMajor,ContMajor,GPA,CumuGPA,RaceEth,age_yr,GenderRec,MIA_Reg,MIA_Know,Group_2.x,Group_1.x,CorResp_2,CorResp_1,TrialRT_2,TrialRT_1,CorrTrialRT_2,CorrTrialRT_1,ConfRT_2,ConfRT_1,ConfResp_2,ConfResp_1,UnderConf_2,UnderConf_1,OverConf_2,OverConf_1,PreConf_2,PreConf_1,PostConf_2,PostConf_1,AUROC2_2,AUROC2_1,BROC_2,BROC_1,BioPropAcc_2,BioPropAcc_1,dprime_2,dprime_1,c_2,c_1,meta_d_2,meta_d_1,M_ratio_2,M_ratio_1,Group_1.y,Group_2.y,DotsAcc_1,DotsAcc_2,DotsTrialRT_1,DotsTrialRT_2,DotCorTrialRT_1,DotCorTrialRT_2,DotConfRT_1,DotConfRT_2,DotConfResp_1,DotConfResp_2,DotOverConf_1,DotOverConf_2,DotPreConf_1,DotPreConf_2,DotPostConf_1,DotPostConf_2,DotsAUROC2_1,DotsAUROC2_2,DotsBROC_1,DotsBROC_2,DotsPropAcc_1,DotsPropAcc_2,DotsdPrime_1,DotsdPrime_2,Dots_c_1,Dots_c_2,Dots_MetaD_1,Dots_MetaD_2,Dots_MRatio_1,Dots_MRatio_2
1,1101,100,75560,10/18/24 11:31,5,1,2,3,2,,,,1,1,3.4,3.4,1,20,Male,22,12,NA,LowType2,NA,19,NA,8349.085714,NA,8610.947368,NA,1082.685714,NA,3.315789474,NA,4,NA,15,NA,NA,NA,NA,NA,0.487528345,NA,0,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,LowType2,NA,97,NA,622.0134454,NA,629.1989474,NA,623.0245763,NA,2.425,NA,2,NA,NA,NA,NA,NA,0.694545455,NA,0.51602106,NA,80.83333333,NA,1.713548584,NA,0.089002794,NA,1.428754304,NA,0.833798538,NA
2,1102,100,163,10/14/24 11:18,5,1,2,3,2,,,,2,1,4,4,1,20,Male,29,16,HighType2,HighType2,25,28,5610.947368,6489.368421,5502.6,5637.357143,1029.157895,1337.052632,2.921052632,2.789473684,4,8,6,5,NA,NA,NA,NA,0.688888889,0.6375,-0.298026999,-0.101123596,65.78947368,73.68421053,0.772401554,1.213698071,0.067561413,-0.109648465,1.411820382,0.987340233,1.827832135,0.813497406,HighType2,HighType2,92,92,565.5083333,422.5666667,572.7173913,429.4505495,508.7478992,351.1525424,2.375,2.633333333,5,10,NA,NA,NA,NA,0.681914894,0.671276596,0.254902201,0.007339143,76.66666667,76.66666667,1.586149636,2.14887279,0.442365523,0.848043074,1.545271934,1.804706137,0.974228344,0.839838517
3,1103,100,256,10/19/24 14:26,5,1,2,3,1,,,,2,1,3.4,3.4,4,20,Female,24,10,NA,NoFB,NA,20,NA,4293.135135,NA,4212.2,NA,699.8421053,NA,2.815789474,NA,3,NA,14,NA,NA,NA,NA,NA,0.531818182,NA,-0.150960847,NA,52.63157895,NA,NA,NA,NA,NA,NA,NA,NA,NoFB,NA,90,NA,868.6101695,NA,631.2579545,NA,413.6449153,NA,2.85,NA,11,NA,NA,NA,NA,NA,0.699388587,NA,-0.099357101,NA,75,NA,1.322037712,NA,0.026011671,NA,1.361169446,NA,1.02959956,NA
4,1104,100,189,10/20/24 15:43,5,1,2,3,2,,,,2,1,unsure,3.7,1,20,Female,27,17,NA,LowType1,NA,25,NA,6942.631579,NA,6661.04,NA,1058.526316,NA,2.526315789,NA,11,NA,6,NA,NA,NA,NA,NA,0.549382716,NA,-0.004284949,NA,65.78947368,NA,0.786878552,NA,0.20432085,NA,0.311678345,NA,0.3960946,LowType1,NA,96,NA,555.6416667,NA,556.9375,NA,576.4745763,NA,3.075,NA,16,NA,NA,NA,NA,NA,0.653649922,NA,-0.255286546,NA,80,NA,1.661277685,NA,-0.068796065,NA,1.102933853,NA,0.663906982,NA
5,1106,100,434,10/11/24 15:27,5,1,3,5,2,,,,1,1,3.626,3.564,1,20,Female,19,16,NA,LowType2,NA,21,NA,8551.944444,NA,8046.380952,NA,1362,NA,3.105263158,NA,4,NA,10,NA,NA,NA,NA,NA,0.640732265,NA,-0.222041883,NA,55.26315789,NA,NA,NA,NA,NA,NA,NA,NA,LowType2,NA,92,NA,593.9033333,NA,515.1673913,NA,498.210084,NA,2.758333333,NA,16,NA,NA,NA,NA,NA,0.556914894,NA,-0.013895544,NA,76.66666667,NA,1.914612537,NA,-0.774358128,NA,0.765241154,NA,0.399684605,NA
6,1107,100,109,10/14/24 15:55,6,1,3,2,2,,,,1,1,3.9,3.7,1,21,Female,25,NA,HighType2,HighType2,22,26,5663.631579,5586.473684,5554.454545,5492.230769,984.4736842,1222.605263,3.368421053,3.315789474,3,4,13,9,NA,NA,NA,NA,0.572916667,0.577806122,-0.128002868,-0.180442375,57.89473684,68.42105263,NA,0.91639949,NA,-0.139560381,NA,0.419351669,NA,0.457607925,HighType2,HighType2,88,94,743.9658333,1007.674167,680.6295454,1023.802128,603.4150944,382.2954955,2.841666667,2.616666667,23,18,NA,NA,NA,NA,0.566830065,0.459449405,-0.070224539,0.071703829,73.33333333,78.33333333,1.317477644,1.53837577,0.444689346,0.043029916,0.766792627,9.42701175153868e-05,0.582015665,6.1278992656538e-05
7,1109,100,832,10/11/24 21:14,5,1,2,3,2,,,,1,1,3.9,3.9,4,20,Female,26,12,HighType2,HighType2,28,25,6417.648649,8759.783784,6119.642857,8374.84,724.8157895,697.0263158,3.263157895,3.184210526,6,4,8,7,NA,NA,NA,NA,0.593055556,0.625925926,0.025481666,-0.298026999,73.68421053,65.78947368,1.209177217,0.836145613,0.150826418,-0.298424694,0.71242382,0.806324892,0.589180651,0.964335493,HighType2,HighType2,94,95,605.4575,625.7291667,660.4840425,559.3042553,355.1575472,296.1517241,2.458333333,2.6,4,4,NA,NA,NA,NA,0.684680451,0.731386025,0.314358675,0.267748479,78.33333333,79.16666667,1.694338802,1.671826979,-0.266767815,0.462836184,1.227346389,1.638463959,0.724380736,0.980043976
8,1111,100,281,10/18/24 14:14,5,1,2,3,2,,,,1,1,3.8,3.6,1,20,Female,18,13,LowType2,LowType2,20,29,8256.540541,9374.657895,8256.3,8808.655172,1236.552632,1131.894737,3,2.815789474,6,10,12,4,NA,NA,NA,NA,0.5125,0.517595308,-0.028277635,-0.04439615,52.63157895,76.31578947,NA,1.353175152,NA,-0.07882745,NA,5.92853286259564e-06,NA,4.38120139293708e-06,LowType2,LowType2,94,96,704.6333333,390.7833333,603.0425532,368.771875,864.8991453,655.0575,2.441666667,2.416666667,1,4,NA,NA,NA,NA,0.757440476,0.722527473,0.738556367,0.283916084,78.33333333,80,1.554477993,1.888321818,-0.179478871,0.477335786,1.71096868,1.468744917,1.100670892,0.777804346
9,1112,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NoFB,NA,29,NA,10403.30556,NA,10617.82759,NA,945.4054054,NA,3.605263158,NA,2,NA,7,NA,NA,NA,NA,NA,0.626099707,NA,-0.458261085,NA,76.31578947,NA,1.388351481,NA,0.24041355,NA,1.192725944,NA,0.859095093,NA,NA,NoFB,NA,92,NA,1152.571667,NA,1131.179348,NA,503.6966387,NA,2.216666667,NA,4,NA,NA,NA,NA,NA,0.637943262,NA,0.328839902,NA,76.66666667,NA,1.422593904,NA,0.050545825,NA,0.975708894,NA,0.685866072
10,1113,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LowType2,NA,23,NA,530.6842105,NA,530.3478261,NA,510.1315789,NA,4,NA,0,NA,15,NA,NA,NA,NA,NA,0.514117647,NA,0,NA,60.52631579,NA,NA,NA,NA,NA,NA,NA,NA,LowType2,NA,90,NA,366.6308333,NA,357.4453488,NA,183.9830508,NA,2,NA,0,NA,NA,NA,NA,NA,0.494904891,NA,0,NA,75,NA,1.306287252,NA,-0.247745904,NA,0.000301356,NA,0.000230697,NA
