"participant","Group","timepoint","n_correct_bio","n_correct_dots","n_errors_bio","n_errors_dots","dprime_bio","dprime_dots","meta_d_bio","meta_d_dots","M_ratio_bio","M_ratio_dots"
1101,"LowType2",1,19,97,19,23,NA,1.71354858352274,NA,1.42875430405079,NA,0.83379853818532
1102,"HighType2",1,28,92,10,28,1.21369807085955,1.58614963648848,0.987340232861525,1.54527193375429,0.813497406453227,0.974228344039032
1102,"HighType2",2,25,92,13,28,0.772401554134255,2.1488727897899,1.41182038185743,1.80470613721517,1.8278321351125,0.839838517100686
1103,"NoFB",1,20,90,18,30,NA,1.32203771151256,NA,1.36116944581145,NA,1.02959955979934
1104,"LowType1",1,25,96,13,24,0.786878552315271,1.66127768455332,0.311678345344369,1.10293385310365,0.396094599893849,0.663906981571356
1106,"LowType2",1,21,92,17,28,NA,1.91461253655055,NA,0.765241154485924,NA,0.399684604522968
1107,"HighType2",1,26,88,12,32,0.916399490006854,1.31747764443429,0.419351669461595,0.766792626692422,0.457607925402118,0.582015664502357
1107,"HighType2",2,22,94,16,26,NA,1.53837577004179,NA,9.42701175153868e-05,NA,6.1278992656538e-05
1109,"HighType2",1,25,94,13,26,0.836145613217834,1.69433880170466,0.806324891890688,1.22734638863518,0.964335492699193,0.724380736249658
1109,"HighType2",2,28,95,10,25,1.20917721653035,1.67182697918403,0.712423819608135,1.63846395912297,0.58918065099869,0.980043975557
1111,"LowType2",1,29,94,9,26,1.35317515240295,1.55447799314063,5.92853286259564e-06,1.71096867994851,4.38120139293708e-06,1.10067089241432
1111,"LowType2",2,20,96,18,24,NA,1.88832181755503,NA,1.46874491714978,NA,0.777804346428345
1112,"NoFB",2,29,92,9,28,1.38835148124336,1.42259390402634,1.19272594423922,0.975708893570597,0.859095092527327,0.685866072397094
1113,"LowType2",1,23,90,15,30,NA,1.30628725150124,NA,0.00030135593588387,NA,0.000230696529831045
1114,"NoFB",1,28,92,10,28,1.21369807085955,1.43712837418708,0.782129758761606,1.36217300541935,0.644418721212681,0.947843651190779
1114,"NoFB",2,27,96,11,24,1.07405439032484,1.6786816580052,0.630560577719771,0.557781437550505,0.587084400380375,0.332273504562697
1116,"HighType2",1,28,94,10,26,1.21369807085955,1.52678394599548,0.631742303185887,1.46674231329417,0.520510263922958,0.960674440637923
1116,"HighType2",2,30,93,8,27,1.51083005272094,1.6173702384959,1.07331437110617,1.97033598420074,0.710413702171982,1.21823435185322
1118,"NoFB",1,26,91,12,29,0.916399490006854,1.37274826049434,1.28014744269252,0.00484110216501336,1.39693164024234,0.00352657679804308
1118,"NoFB",2,28,92,10,28,1.20917721653035,1.45320792902385,0.153780119397056,0.226403054428736,0.127177486719703,0.15579536135673
1119,"LowType2",1,25,100,13,20,0.772401554134255,1.87322616335329,1.48550203259198,1.12691412177973,1.9232250694485,0.601589996886666
1119,"LowType2",2,24,95,14,25,NA,1.59824898514062,NA,1.51824997639479,NA,0.949945841048795
1120,"NoFB",1,21,93,17,27,NA,1.56801743271884,NA,1.87214413238092,NA,1.19395619800907
1120,"NoFB",2,21,99,17,21,NA,2.02732868350214,NA,1.54690857827329,NA,0.763028013593266
1121,"NoFB",1,24,94,14,26,NA,1.54073607927283,NA,0.289146224437382,NA,0.18766758845152
1121,"NoFB",2,20,93,18,27,NA,1.46090656474404,NA,0.752514423008401,NA,0.515100993567132
1122,"LowType2",1,22,90,16,30,NA,1.48450175918067,NA,0.346029128611653,NA,0.233094455073354
1122,"LowType2",2,17,94,21,26,NA,1.53567959044001,NA,1.58521298569719,NA,1.03225503260285
1124,"HighType2",1,20,90,18,30,NA,1.34501224384986,NA,1.44258612644684,NA,1.07254497722466
1124,"HighType2",2,21,90,17,30,NA,1.40942100602215,NA,0.816407912876693,NA,0.57925056415958
1125,"HighType2",1,21,93,17,27,NA,1.60631779425179,NA,0.487063503981497,NA,0.303217399274574
1125,"HighType2",2,22,94,16,26,NA,1.52516554434585,NA,0.569956046936539,NA,0.373701103496273
1127,"LowType1",1,22,93,16,27,NA,1.53037635531351,NA,1.12494760001956,NA,0.735079051707578
1127,"LowType1",2,27,96,11,24,1.05152231621236,1.70341023504495,1.13544073421569,1.79811529455475,1.0798065972633,1.05559732914679
1129,"HighType2",1,11,92,27,28,NA,1.42522251003858,NA,1.33147977037963,NA,0.934225891747661
1130,"LowType1",1,24,93,14,27,NA,1.7705705188042,NA,0.778995534783752,NA,0.43996865784813
1130,"LowType1",2,27,92,11,28,1.07405439032484,1.65836532561655,0.848813271258878,1.99463211700185,0.790288907996695,1.20277003274914
1131,"HighType2",1,21,94,17,26,NA,1.54509628614818,NA,1.65561936935495,NA,1.07153151826045
1131,"HighType2",2,26,98,12,22,0.921029299503223,1.76727842393581,2.17993741045734e-07,1.67019821699398,2.36684914544319e-07,0.945067961206911
1134,"LowType1",1,21,95,17,25,NA,1.73445997299412,NA,0.883490532593806,NA,0.509374990688701
1134,"LowType1",2,22,91,16,29,NA,1.38213325894896,NA,1.35162378525143,NA,0.977925808889995
1135,"HighType2",1,29,93,9,27,1.38835148124336,1.52712479026247,1.60265141631942,1.03108110595522,1.15435567863848,0.67517802901884
1135,"HighType2",2,27,92,11,28,1.04420841283374,1.53905160181874,1.00753596756131,0.689200089823147,0.964880147658542,0.447808305458178
1136,"NoFB",1,28,96,10,24,1.20917721653035,1.64021974970184,1.31440992133679,0.958683567276982,1.08702835561887,0.584484833481154
1136,"NoFB",2,28,95,10,25,1.2655412644678,1.68037923950389,1.09271499786007,0.758854746318,0.863436877595289,0.451597311177233
1138,"NoFB",1,20,91,18,29,NA,1.37201121904375,NA,0.614516188055059,NA,0.447894433752049
1138,"NoFB",2,NA,92,NA,28,NA,1.41791142631147,NA,1.34221757279428,NA,0.94661595067747
1139,"LowType1",1,22,94,16,26,NA,1.61074629938576,NA,0.278621642099208,NA,0.172976738922484
1139,"LowType1",2,NA,95,NA,25,NA,1.58901995213045,NA,0.519084193630731,NA,0.326669399547046
1140,"LowType1",1,24,98,14,22,NA,1.76532020964136,NA,1.25250464534216,NA,0.709505640110822
1140,"LowType1",2,25,94,13,26,0.764194696086507,1.64062302765353,1.19559717967686,1.4598621784523,1.56451907583185,0.889821826126773
1141,"LowType1",1,28,94,10,26,1.20917721653035,1.678287148908,0.317154945911431,0.5266325697635,0.262289879081154,0.313791695364027
1141,"LowType1",2,32,91,6,29,1.90576440673648,1.4176786939899,1.4879120720974,0.693380520169597,0.780742922282494,0.489095676692548
1143,"LowType1",1,18,94,20,26,NA,1.5292223683962,NA,1.22862079118912,NA,0.803428472261793
