"prior_mean","prior_sd","BF01","log_BF01","interpretation"
0,1,1.37829095776266,0.320844295269151,"Inconclusive"
0.1,1,1.38519966993877,0.325844295269151,"Inconclusive"
0.2,1,1.40613428205623,0.340844295269151,"Inconclusive"
0.3,1,1.44173074088001,0.365844295269151,"Inconclusive"
0.4,1,1.49308477003762,0.400844295269151,"Inconclusive"
0.5,1,1.56180826666475,0.445844295269151,"Inconclusive"
0.6,1,1.65011386606724,0.500844295269151,"Inconclusive"
0.7,1,1.76093390343515,0.565844295269151,"Inconclusive"
0.8,1,1.89808274526816,0.640844295269151,"Inconclusive"
0.9,1,2.06647507877919,0.725844295269151,"Inconclusive"
0,2,2.75658191552532,1.0139914758291,"Inconclusive"
0.1,2,2.76002979739695,1.0152414758291,"Inconclusive"
0.2,2,2.77039933987754,1.0189914758291,"Inconclusive"
0.3,2,2.78776855801807,1.0252414758291,"Inconclusive"
0.4,2,2.81226856411245,1.0339914758291,"Inconclusive"
0.5,2,2.8440852185745,1.0452414758291,"Inconclusive"
0.6,2,2.88346148176002,1.0589914758291,"Inconclusive"
0.7,2,2.93070050843027,1.0752414758291,"Inconclusive"
0.8,2,2.98616954007524,1.0939914758291,"Inconclusive"
0.9,2,3.05030466510533,1.1152414758291,"Evidence for difference (Pre != Post)"
